split,participant_id,file_id,video_relpath,annotation_id,frame_start,frame_end,activity,canonical_activity,chunk_id
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,8,2985,3010,sitting_still,normal_surus,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,10,3055,3101,sitting_still,normal_surus,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,10,3101,3114,sitting_still,normal_surus,1
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,12,3155,3201,sitting_still,normal_surus,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,12,3201,3246,sitting_still,normal_surus,1
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,12,3246,3291,sitting_still,normal_surus,2
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,12,3291,3310,sitting_still,normal_surus,3
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,14,3413,3458,opening_laptop,bilgisayar,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,14,3458,3495,opening_laptop,bilgisayar,1
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,15,3498,3543,working_on_laptop,bilgisayar,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,15,3543,3589,working_on_laptop,bilgisayar,1
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,15,3589,3634,working_on_laptop,bilgisayar,2
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,15,3634,3679,working_on_laptop,bilgisayar,3
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,15,3679,3724,working_on_laptop,bilgisayar,4
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,15,3724,3770,working_on_laptop,bilgisayar,5
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,18,3905,3950,working_on_laptop,bilgisayar,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,18,3950,3995,working_on_laptop,bilgisayar,1
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,18,3995,4040,working_on_laptop,bilgisayar,2
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,18,4040,4045,working_on_laptop,bilgisayar,3
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4070,4116,interacting_with_phone,telefonla_konusma,0
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4116,4161,interacting_with_phone,telefonla_konusma,1
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4161,4206,interacting_with_phone,telefonla_konusma,2
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4206,4251,interacting_with_phone,telefonla_konusma,3
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4251,4297,interacting_with_phone,telefonla_konusma,4
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4297,4342,interacting_with_phone,telefonla_konusma,5
train,1,vp1/run1b_2018-05-29-14-02-47.kinect_color,vp1/run1b_2018-05-29-14-02-47.kinect_color.mp4,20,4342,4387,interacting_with_phone,telefonla_konusma,6
