class_id,class_name,threshold,precision,recall,f1,tp_count,fp_count,fn_count,status
0,telefonla_konusma,0.05,0.105,0.933,0.189,14,119,1,ÖLÇÜLDÜ
0,telefonla_konusma,0.1,0.117,0.733,0.202,11,83,4,ÖLÇÜLDÜ
0,telefonla_konusma,0.15,0.164,0.733,0.268,11,56,4,ÖLÇÜLDÜ
0,telefonla_konusma,0.2,0.148,0.533,0.232,8,46,7,ÖLÇÜLDÜ
0,telefonla_konusma,0.25,0.186,0.533,0.276,8,35,7,ÖLÇÜLDÜ
0,telefonla_konusma,0.3,0.2,0.467,0.28,7,28,8,ÖLÇÜLDÜ
0,telefonla_konusma,0.35,0.167,0.333,0.222,5,25,10,ÖLÇÜLDÜ
0,telefonla_konusma,0.4,0.138,0.267,0.182,4,25,11,ÖLÇÜLDÜ
0,telefonla_konusma,0.45,0.107,0.2,0.14,3,25,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.5,0.107,0.2,0.14,3,25,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.55,0.107,0.2,0.14,3,25,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.6,0.111,0.2,0.143,3,24,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.65,0.12,0.2,0.15,3,22,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.7,0.136,0.2,0.162,3,19,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.75,0.176,0.2,0.188,3,14,12,ÖLÇÜLDÜ
0,telefonla_konusma,0.8,0.4,0.133,0.2,2,3,13,ÖLÇÜLDÜ
0,telefonla_konusma,0.85,0.0,0.0,0.0,0,0,15,ÖLÇÜLDÜ
0,telefonla_konusma,0.9,0.0,0.0,0.0,0,0,15,ÖLÇÜLDÜ
0,telefonla_konusma,0.95,0.0,0.0,0.0,0,0,15,ÖLÇÜLDÜ
1,su_icme,0.05,0.069,1.0,0.128,7,95,0,ÖLÇÜLDÜ
